loan_id,customer_id,product_type,risk_grade,loan_amount,tenure_months,acquisition_channel,default_flag,loan_status,default_probability,risk_category,segment_name,stress_score,early_stress_flag,income_to_emi,credit_bureau_score,dpd_max,payment_ratio
LOAN000001,CUST01408,Personal Loan,B,50000,24,Organic App,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0048,0,11.504705831752853,747.0,2.0,1.0
LOAN000002,CUST04589,Personal Loan,B,100000,24,Partner App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.012,0,5.896734573647822,712.0,5.0,1.0
LOAN000003,CUST01908,Personal Loan,D,150000,12,DSA Agent,0,Active,0.00086890196,Low Risk,High Risk Borrowers,0.3572,0,1.496021899488035,591.0,76.0,0.68
LOAN000004,CUST01979,Personal Loan,D,50000,24,Organic App,0,Active,0.00040239602,Low Risk,High Risk Borrowers,0.294,0,11.55835853063498,611.0,83.0,0.7758
LOAN000005,CUST02782,Personal Loan,B,50000,12,DSA Agent,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0075,0,6.877846255179633,675.0,3.0,0.9983
LOAN000006,CUST01596,Personal Loan,D,100000,12,Organic App,0,Closed,0.00029710037,Low Risk,Emerging Borrowers,0.0079,0,2.291485789927016,580.0,3.0,0.9967
LOAN000007,CUST01120,Personal Loan,D,75000,12,Partner App,0,Active,0.0001284088,Low Risk,Emerging Borrowers,0.0075,0,2.598866917272008,617.0,3.0,0.9983
LOAN000008,CUST04676,BNPL,D,5000,9,Partner App,0,Closed,0.00029710037,Low Risk,Emerging Borrowers,0.0048,0,16.238595046344457,565.0,2.0,1.0
LOAN000009,CUST04177,Personal Loan,B,75000,18,Partner App,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.005,0,8.805237981902035,685.0,2.0,0.9989
LOAN000010,CUST01192,Personal Loan,D,75000,12,Organic App,0,Closed,0.00016355232,Low Risk,Emerging Borrowers,0.0048,0,3.381305389527075,538.0,2.0,1.0
LOAN000011,CUST03425,SME Working Capital,B,500000,6,DSA Agent,0,Closed,0.00013541951,Low Risk,Prime Borrowers,0.0,0,0.4486409468391803,759.0,0.0,1.0
LOAN000012,CUST00489,Personal Loan,D,100000,36,DSA Agent,0,Active,0.000224944,Low Risk,Emerging Borrowers,0.0073,0,10.187076931636843,608.0,3.0,0.9994
LOAN000013,CUST04754,Personal Loan,C,100000,36,Partner App,0,Active,0.000224944,Low Risk,Prime Borrowers,0.0072,0,7.196695958252341,690.0,3.0,1.0
LOAN000014,CUST04680,Personal Loan,B,50000,18,Paid Ad,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0002,0,14.44742729544798,732.0,0.0,0.9989
LOAN000015,CUST01549,BNPL,B,20000,3,Organic App,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0667,0,8.672996975231065,722.0,0.0,0.6667
LOAN000016,CUST01307,Personal Loan,A,200000,24,Organic App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0,0,3.805954829177656,766.0,0.0,1.0
LOAN000017,CUST04063,BNPL,D,10000,3,Partner App,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0024,0,2.836060140655776,636.0,1.0,1.0
LOAN000018,CUST01279,SME Working Capital,C,300000,24,Organic App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0048,0,2.2679134161690966,628.0,2.0,1.0
LOAN000019,CUST02640,Personal Loan,D,75000,48,Organic App,0,Active,0.00023722395,Low Risk,Emerging Borrowers,0.0121,0,18.44203436819403,629.0,5.0,0.9996
LOAN000020,CUST02923,Personal Loan,B,200000,24,Organic App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0074,0,2.2509566572331927,668.0,3.0,0.9992
LOAN000021,CUST03513,BNPL,B,5000,3,Paid Ad,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0,0,18.298946938082064,711.0,0.0,1.0
LOAN000022,CUST02490,BNPL,D,10000,3,Paid Ad,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0048,0,12.301716020676906,601.0,2.0,1.0
LOAN000023,CUST04868,SME Working Capital,B,200000,24,Organic App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0072,0,5.9816456254323525,740.0,3.0,1.0
LOAN000024,CUST02143,SME Working Capital,B,300000,6,Organic App,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0024,0,0.1911629128968995,691.0,1.0,1.0
LOAN000025,CUST01122,Personal Loan,C,50000,24,Organic App,1,Defaulted,0.9997211,Critical Risk,High Risk Borrowers,0.4087,0,10.831204304171518,647.0,107.0,0.6316
LOAN000026,CUST01684,Personal Loan,B,75000,36,Partner App,0,Active,0.000224944,Low Risk,Prime Borrowers,0.0048,0,10.853222892428182,689.0,2.0,1.0
LOAN000027,CUST00556,SME Working Capital,A,200000,12,Organic App,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0123,0,1.6726485444795625,778.0,5.0,0.9983
LOAN000028,CUST01697,SME Working Capital,D,750000,6,Organic App,0,Closed,0.0005162703,Low Risk,High Risk Borrowers,0.2868,1,0.1358301498342204,698.0,54.0,0.5475
LOAN000029,CUST03414,Personal Loan,D,100000,36,DSA Agent,0,Active,0.000224944,Low Risk,Emerging Borrowers,0.0072,0,7.538427948317095,644.0,3.0,1.0
LOAN000030,CUST00335,Personal Loan,D,200000,24,Partner App,1,Defaulted,0.99982077,Critical Risk,High Risk Borrowers,0.3793,0,7.555905712012815,645.0,90.0,0.6333
LOAN000031,CUST01842,BNPL,D,5000,6,Partner App,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0024,0,48.453852035916505,588.0,1.0,1.0
LOAN000032,CUST01107,Personal Loan,D,150000,48,DSA Agent,1,Defaulted,0.99985397,Critical Risk,High Risk Borrowers,0.325,0,5.165674414191757,591.0,91.0,0.7892
LOAN000033,CUST04594,SME Working Capital,C,500000,12,DSA Agent,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.012,0,0.5436972545386722,599.0,5.0,1.0
LOAN000034,CUST04796,SME Working Capital,B,200000,36,DSA Agent,0,Active,0.000224944,Low Risk,Prime Borrowers,0.0122,0,5.056214477033444,683.0,5.0,0.9989
LOAN000035,CUST00354,SME Working Capital,D,300000,6,DSA Agent,0,Active,0.0001284088,Low Risk,Emerging Borrowers,0.0,0,0.9524944648374508,606.0,0.0,1.0
LOAN000036,CUST01829,Personal Loan,D,25000,12,DSA Agent,0,Closed,0.00092311244,Low Risk,High Risk Borrowers,0.2721,0,6.925616346350703,554.0,63.0,0.7288
LOAN000037,CUST03329,SME Working Capital,D,300000,24,Partner App,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0,0,1.7286076879697714,613.0,0.0,1.0
LOAN000038,CUST04833,BNPL,D,20000,3,DSA Agent,0,Closed,0.00013129294,Low Risk,High Risk Borrowers,0.1429,1,7.097514708204527,665.0,22.0,0.5493
LOAN000040,CUST03606,Personal Loan,C,200000,12,Partner App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0072,0,2.006840620793028,618.0,3.0,1.0
LOAN000041,CUST01175,Personal Loan,B,50000,12,DSA Agent,0,Active,0.00038879004,Low Risk,Prime Borrowers,0.0048,0,5.250721824749215,676.0,2.0,1.0
LOAN000042,CUST02052,BNPL,D,15000,6,Partner App,0,Closed,0.00013541951,Low Risk,Emerging Borrowers,0.0024,0,13.165153661465558,598.0,1.0,1.0
LOAN000043,CUST04081,Personal Loan,B,100000,24,Partner App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0072,0,6.955710159881811,740.0,3.0,1.0
LOAN000044,CUST01751,Personal Loan,D,100000,36,Paid Ad,1,Defaulted,0.99891174,Critical Risk,High Risk Borrowers,0.4298,0,10.918867903867984,639.0,88.0,0.6175
LOAN000045,CUST00042,SME Working Capital,C,300000,12,DSA Agent,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0072,0,0.8413539502554159,700.0,3.0,1.0
LOAN000046,CUST02957,SME Working Capital,D,300000,24,Organic App,1,Defaulted,0.99981576,Critical Risk,High Risk Borrowers,0.5678,0,1.6921256884566367,630.0,108.0,0.4337
LOAN000047,CUST02494,BNPL,D,30000,3,Organic App,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.012,0,3.587938239178365,544.0,5.0,1.0
LOAN000048,CUST03502,BNPL,B,15000,3,DSA Agent,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0,0,5.89579550679994,704.0,0.0,1.0
LOAN000049,CUST04439,BNPL,D,15000,3,DSA Agent,0,Closed,0.00029710037,Low Risk,Emerging Borrowers,0.0,0,3.248083049351917,591.0,0.0,1.0
LOAN000050,CUST03483,SME Working Capital,D,300000,24,Partner App,0,Active,0.0001284088,Low Risk,Emerging Borrowers,0.0024,0,2.214338367900514,590.0,1.0,1.0
LOAN000051,CUST03232,SME Working Capital,D,200000,24,Partner App,1,Defaulted,0.99982077,Critical Risk,High Risk Borrowers,0.4663,0,2.660697948775236,647.0,106.0,0.5534
LOAN000052,CUST03296,Personal Loan,D,25000,24,DSA Agent,1,Defaulted,0.99982077,Critical Risk,High Risk Borrowers,0.4394,0,8.511653739599886,591.0,97.0,0.6144
LOAN000053,CUST02424,Personal Loan,A,200000,24,Organic App,0,Closed,0.0001284088,Low Risk,Prime Borrowers,0.0027,0,3.605700548880345,763.0,1.0,0.9983
LOAN000055,CUST03663,Personal Loan,D,200000,18,Paid Ad,0,Closed,0.061434295,Low Risk,High Risk Borrowers,0.3428,0,1.687980812040209,591.0,85.0,0.7308
LOAN000056,CUST04786,Personal Loan,C,100000,48,DSA Agent,0,Active,0.0002305188,Low Risk,Emerging Borrowers,0.0074,0,33.891748986369166,662.0,3.0,0.9992
LOAN000057,CUST03193,SME Working Capital,B,200000,12,Organic App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0048,0,1.6639519857667793,659.0,2.0,1.0
LOAN000058,CUST02776,SME Working Capital,C,300000,18,DSA Agent,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0074,0,2.4444773729876386,690.0,3.0,0.9989
LOAN000059,CUST03714,Personal Loan,D,25000,36,Organic App,1,Defaulted,0.99985194,Critical Risk,High Risk Borrowers,0.3375,0,18.618660412835112,582.0,98.0,0.7718
LOAN000060,CUST02563,Personal Loan,C,150000,36,DSA Agent,0,Active,0.000224944,Low Risk,Prime Borrowers,0.0024,0,13.228483242147188,607.0,1.0,1.0
LOAN000061,CUST01401,Personal Loan,D,50000,36,DSA Agent,0,Active,0.00031887114,Low Risk,Emerging Borrowers,0.0051,0,17.096276552114432,603.0,2.0,0.9983
LOAN000062,CUST00858,Personal Loan,D,100000,18,Organic App,0,Active,0.0001315915,Low Risk,Emerging Borrowers,0.0072,0,3.546531910932058,582.0,3.0,1.0
LOAN000063,CUST01867,Personal Loan,B,100000,18,DSA Agent,1,Defaulted,0.9996623,Critical Risk,High Risk Borrowers,0.4028,0,12.765117373408197,671.0,99.0,0.6024
LOAN000064,CUST04803,BNPL,C,15000,6,Partner App,0,Closed,0.00032638037,Low Risk,High Risk Borrowers,0.5412,1,12.377491404448364,666.0,49.0,0.4651
LOAN000065,CUST02784,Personal Loan,D,150000,48,DSA Agent,0,Active,0.00046700097,Low Risk,Emerging Borrowers,0.0073,0,3.973542426749549,629.0,3.0,0.9996
LOAN000066,CUST04941,BNPL,D,15000,1,Organic App,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0,0,2.4709241318724247,671.0,0.0,1.0
LOAN000067,CUST00822,Personal Loan,D,50000,48,DSA Agent,0,Active,0.0003636048,Low Risk,Emerging Borrowers,0.0121,0,16.83413963955495,566.0,5.0,0.9996
LOAN000068,CUST04608,SME Working Capital,C,300000,18,Organic App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0,0,3.430258180381106,638.0,0.0,1.0
LOAN000069,CUST00471,Personal Loan,B,25000,36,Organic App,0,Active,0.0014307227,Low Risk,Stressed Borrowers,0.0072,0,50.08791095976252,730.0,3.0,1.0
LOAN000070,CUST03549,BNPL,D,20000,6,Organic App,0,Active,0.0001284088,Low Risk,Emerging Borrowers,0.0,0,11.098983298018537,546.0,0.0,1.0
LOAN000071,CUST04230,Personal Loan,A,25000,18,Paid Ad,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0026,0,33.66520045283586,775.0,1.0,0.9989
LOAN000072,CUST04446,SME Working Capital,D,300000,12,Paid Ad,0,Active,0.00013129294,Low Risk,High Risk Borrowers,0.2233,0,0.6446952602018763,577.0,42.0,0.7208
LOAN000073,CUST04365,BNPL,C,10000,3,DSA Agent,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0,0,23.29060557154296,691.0,0.0,1.0
LOAN000074,CUST02645,BNPL,D,10000,3,Paid Ad,0,Closed,0.00014023292,Low Risk,Emerging Borrowers,0.0,0,8.756645319896593,643.0,0.0,1.0
LOAN000075,CUST00928,BNPL,D,10000,6,Partner App,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0024,0,16.79037405997698,620.0,1.0,1.0
LOAN000076,CUST00571,SME Working Capital,C,500000,18,Paid Ad,0,Active,0.00014023292,Low Risk,Emerging Borrowers,0.0,0,1.3150154371356138,665.0,0.0,1.0
LOAN000077,CUST03762,BNPL,D,5000,12,Partner App,0,Active,0.00036184367,Low Risk,High Risk Borrowers,0.3757,0,77.28624609665441,660.0,84.0,0.6295
LOAN000078,CUST03195,BNPL,C,5000,1,Partner App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0,0,6.603950342297509,699.0,0.0,1.0
LOAN000079,CUST04269,Personal Loan,C,150000,24,DSA Agent,0,Closed,0.0001315915,Low Risk,Emerging Borrowers,0.0026,0,2.9424792822038897,682.0,1.0,0.9992
LOAN000080,CUST02028,SME Working Capital,D,300000,36,DSA Agent,0,Active,0.07706035,Low Risk,High Risk Borrowers,0.3668,0,3.62846737591696,617.0,89.0,0.7412
LOAN000081,CUST03062,BNPL,D,5000,1,Organic App,0,Closed,0.0001284088,Low Risk,Emerging Borrowers,0.0,0,8.359493464717634,662.0,0.0,1.0
LOAN000082,CUST01618,Personal Loan,B,100000,24,Organic App,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0024,0,10.915851771942872,742.0,1.0,1.0
LOAN000083,CUST01606,BNPL,D,5000,3,Organic App,0,Closed,0.00016275937,Low Risk,High Risk Borrowers,0.2265,1,48.74692038872491,649.0,27.0,0.1913
LOAN000084,CUST04139,BNPL,C,5000,12,Paid Ad,0,Closed,0.00061334413,Low Risk,Stressed Borrowers,0.5351,0,89.89068737887689,674.0,87.0,0.3644
LOAN000085,CUST00178,Personal Loan,D,50000,36,DSA Agent,1,Defaulted,0.9998399,Critical Risk,High Risk Borrowers,0.3855,0,15.444939081655724,622.0,94.0,0.6909
LOAN000086,CUST00725,Personal Loan,C,50000,18,DSA Agent,0,Active,0.0001284088,Low Risk,Prime Borrowers,0.0072,0,8.971001463387298,638.0,3.0,1.0
